	【価格変更】美容・ダイエット・着圧レギンスなどの紹介ブログ	340万円	405,000円	2,000円	403,000円	15,861	11件	2017-10-24
	美容・健康・グルメを中心とした女性向け情報ブログ	390万円	303,351円	1,000円	302,351円	613,084	8件	2017-11-15
	【価格変更】アマゾン食品、雑貨の通販サイト	600万円	2,000,000円	1,600,000円	400,000円	-	-	2016-10-06
	株の初心者に向けた情報サイト	200万円	121,448円	1,200円	120,248円	34,000	20件	2017-11-14
	サブスクリプション型のアフィリエイトサイト	200万円	69,200円	1,000円	68,200円	2,500	3件	2017-11-13
	【価格変更】単一漫画の感想、考察、分析などをしているブログ	20万円	17,400円	1,300円	16,100円	192,400	15件	2017-09-21
	ビットコインや仮想通貨に関する情報サイト	3,000万円	2,000,000円	201,000円	1,799,000円	100,000	11件	2017-11-10
	街コンで彼女・彼氏を作るためのサイト	50万円	0円	1,200円	-1,200円	14,000	1件	2017-11-10
	お金を稼ぐ方法やネットビジネスに関する情報サイト	800万円	2,000,000円	10,000円	1,990,000円	-	9件	2017-11-10
	有名人の情報をコンパクトにまとめたサイト	6万円	0円	1,213円	-1,213円	6,886	2件	2017-11-10
	PPC広告費の3～5倍収益を上げるアドセンスサイト	300万円	150,000円	32,000円	118,000円	30,000	7件	2017-11-09
	ギャル系ブランド衣類、服飾小物の通販サイト	50万円	49,676円	17,491円	32,185円	6,806	6件	2017-11-07
	外壁塗装の集客サイト	50万円	5,000,000円	4,250,000円	750,000円	4,634	3件	2017-11-07
	クラウド型のお礼状作成・送付サービス	50万円	30,000円	5,000円	25,000円	800	2件	2017-11-05
	妊活や出産・産後のケアに関するサイト（7サイトセット）	39万円	19,284円	1,080円	18,204円	1,233	7件	2017-11-03
	ポケットwifiのキャンペーンを比較するサイト	250万円	101,863円	9,080円	92,783円	5,862	2件	2017-11-02
	美容・健康に関する情報サイト	60万円	27,155円	1,000円	26,155円	55,511	4件	2017-11-01
	浮気調査の探偵情報サイト	60万円	23,123円	1,195円	21,928円	506	5件	2017-12-01
	【価格変更】芸能人に関する情報ブログ	50万円	79,560円	1,000円	78,560円	60,916	22件	2017-10-27
	話題のk-popアイドルを紹介するサイト	200万円	119,545円	540円	119,005円	414,832	5件	2017-11-30
	【価格変更】トレンド系の情報を発信しているサイト	30万円	30,685円	500円	30,185円	90,444	15件	2017-11-24
	酵素ドリンクダイエットの紹介サイト	20万円	0円	1,180円	-1,180円	200	5件	2017-11-29
	犬のブリーダーの検索サイト	80万円	1,000円	5,400円	-4,400円	3,000	0件	2017-11-28
